dataset,model,emotion,accuracy,precision,recall,f1_score,num_samples,blocked_filtered
LAIGAI,llava-vl-vicuna-7b,amusement,0.12,0.5,0.12,0.1935,25,False
LAIGAI,llava-vl-vicuna-7b,anger,0.0714,0.25,0.0714,0.1111,14,False
LAIGAI,llava-vl-vicuna-7b,attachment love,0.0,0.0,0.0,0.0,8,False
LAIGAI,llava-vl-vicuna-7b,awe,0.9667,0.1028,0.9667,0.1859,30,False
LAIGAI,llava-vl-vicuna-7b,craving,0.15,1.0,0.15,0.2609,40,False
LAIGAI,llava-vl-vicuna-7b,disgust,0.4571,1.0,0.4571,0.6275,35,False
LAIGAI,llava-vl-vicuna-7b,excitement,0.0,0.0,0.0,0.0,20,False
LAIGAI,llava-vl-vicuna-7b,fear,0.0238,0.3333,0.0238,0.0444,42,False
LAIGAI,llava-vl-vicuna-7b,joy,0.3933,0.8194,0.3933,0.5315,150,False
LAIGAI,llava-vl-vicuna-7b,neutral,0.0,0.0,0.0,0.0,42,False
LAIGAI,llava-vl-vicuna-7b,nurturant love,0.0,0.0,0.0,0.0,14,False
LAIGAI,llava-vl-vicuna-7b,sadness,0.9167,0.618,0.9167,0.7383,60,False
